state,county,total_votes
Delaware,Kent,87025
Delaware,New Castle,287633
Delaware,Sussex,129352
Indiana,Adams,14209
Indiana,Allen,169082
Indiana,Bartholomew,36235
Indiana,Benton,4114
Indiana,Blackford,5350
Indiana,Boone,38520
Indiana,Brown,8981
Indiana,Carroll,9510
Indiana,Cass,15198
Indiana,Clark,57869
Indiana,Clay,12267
Indiana,Clinton,12949
Indiana,Crawford,4944
Indiana,Daviess,11954
Indiana,Dearborn,25383
Indiana,Decatur,12235
Indiana,DeKalb,19628
Indiana,Delaware,48191
Indiana,Dubois,21770
Indiana,Elkhart,74425
Indiana,Fayette,10136
Indiana,Floyd,41802
Indiana,Fountain,7986
Indiana,Franklin,12000
Indiana,Fulton,9147
Indiana,Gibson,16161
Indiana,Grant,27159
Indiana,Greene,14784
Indiana,Hamilton,193999
Indiana,Hancock,42911
Indiana,Harrison,20236
Indiana,Hendricks,88505
Indiana,Henry,21160
Indiana,Howard,40630
Indiana,Huntington,17829
Indiana,Jackson,19238
Indiana,Jasper,15475
Indiana,Jay,8461
Indiana,Jefferson,14697
Indiana,Jennings,12251
Indiana,Johnson,77618
Indiana,Knox,16011
Indiana,Kosciusko,35787
Indiana,LaGrange,10633
Indiana,Lake,219956
Indiana,LaPorte,49392
Indiana,Lawrence,21025
Indiana,Madison,51806
Indiana,Marion,390854
Indiana,Marshall,19927
Indiana,Martin,5144
Indiana,Miami,14473
Indiana,Monroe,63151
Indiana,Montgomery,17198
Indiana,Morgan,36159
Indiana,Newton,6591
Indiana,Noble,19190
Indiana,Ohio,3164
Indiana,Orange,8832
Indiana,Owen,9904
Indiana,Parke,7011
Indiana,Perry,8722
Indiana,Pike,6220
Indiana,Porter,86524
Indiana,Posey,13236
Indiana,Pulaski,5806
Indiana,Putnam,16597
Indiana,Randolph,11070
Indiana,Ripley,14271
Indiana,Rush,7932
Indiana,St. Joseph,115238
Indiana,Scott,10161
Indiana,Shelby,19991
Indiana,Spencer,10769
Indiana,Starke,10290
Indiana,Steuben,16162
Indiana,Sullivan,8994
Indiana,Switzerland,4154
Indiana,Tippecanoe,71448
Indiana,Tipton,8116
Indiana,Union,3483
Indiana,Vanderburgh,77662
Indiana,Vermillion,7481
Indiana,Vigo,43594
Indiana,Wabash,14573
Indiana,Warren,4472
Indiana,Warrick,33829
Indiana,Washington,12139
Indiana,Wayne,27679
Indiana,Wells,14050
Indiana,White,11166
Indiana,Whitley,17556
Missouri,Adair,10336
Missouri,Andrew,9752
Missouri,Atchison,2814
Missouri,Audrain,10656
Missouri,Barry,15598
Missouri,Barton,6077
Missouri,Bates,8416
Missouri,Benton,10476
Missouri,Bollinger,5983
Missouri,Boone,91168
Missouri,Buchanan,36598
Missouri,Butler,18141
Missouri,Caldwell,4695
Missouri,Callaway,21144
Missouri,Camden,24812
Missouri,Cape Girardeau,40328
Missouri,Carroll,4532
Missouri,Carter,2897
Missouri,Cass,57408
Missouri,Cedar,7044
Missouri,Chariton,4077
Missouri,Christian,46839
Missouri,Clark,3394
Missouri,Clay,126569
Missouri,Clinton,10888
Missouri,Cole,39573
Missouri,Cooper,8693
Missouri,Crawford,10973
Missouri,Dade,4119
Missouri,Dallas,8104
Missouri,Daviess,3911
Missouri,DeKalb,4843
Missouri,Dent,7142
Missouri,Douglas,7000
Missouri,Dunklin,10419
Missouri,Franklin,53685
Missouri,Gasconade,7923
Missouri,Gentry,3237
Missouri,Greene,141800
Missouri,Grundy,4437
Missouri,Harrison,3826
Missouri,Henry,10788
Missouri,Hickory,5080
Missouri,Holt,2344
Missouri,Howard,5091
Missouri,Howell,18648
Missouri,Iron,4592
Missouri,Jackson,334055
Missouri,Jasper,52352
Missouri,Jefferson,116672
Missouri,Johnson,23123
Missouri,Knox,1856
Missouri,Laclede,16792
Missouri,Lafayette,17052
Missouri,Lawrence,17909
Missouri,Lewis,4609
Missouri,Lincoln,29017
Missouri,Linn,5886
Missouri,Livingston,6757
Missouri,McDonald,9052
